Date,Open,High,Low,Close,Volume,SMA_10,SMA_50,SMA_200,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,USDTRY,VIX,GOLD,BIST100
2025-03-20,41.90457381169227,45.06341475845016,41.90457381169227,42.86422348022461,14911400,39.84133529663086,30.95300685882568,29.50464974403381,3.4609930091350236,0.8957111153448216,2.565281893790202,74.93778279562625,25.07489651822305,35.37797813415528,45.681059750087506,58.24573454628959,0.8633012735962866,37.99319839477539,19.799999237060547,3040.0,9810.8486328125
2025-03-21,42.4843629524493,42.50435605143394,38.58579635620117,38.58579635620117,6777283,40.26118049621582,31.073362541198723,29.571644945144648,3.1591567012309554,0.47509984595260235,2.684056855278353,58.03513877985308,25.696173701172036,35.79582433700562,45.8954749728392,56.42921107640253,0.6381222044105528,37.94593811035156,19.280000686645508,3018.199951171875,9044.5517578125
2025-03-24,36.986384612820736,40.52508286664322,36.986384612820736,39.585426330566406,8798301,40.703017425537105,31.278487014770505,29.631074848175047,2.966416039702999,0.2258873475397163,2.7405286921632825,60.28888838908414,26.3124918001203,36.24265975952149,46.172827718922676,54.798229629338316,0.6683136974475956,37.976688385009766,17.479999542236328,3013.10009765625,9299.3505859375
2025-03-25,41.74463184076727,41.844597331613656,40.2251945128378,41.244815826416016,5502562,41.110866928100585,31.545188789367675,29.685041694641114,2.9139760391468386,0.13875787758684455,2.775218161559994,63.767543715464186,27.002139382550794,36.78146133422852,46.56078328590624,53.17527687556649,0.7282036788563737,37.848541259765625,17.149999618530273,3023.699951171875,9715.5478515625
2025-03-26,41.26480869245137,41.904572577095024,40.585058611694095,41.544708251953125,5653018,41.44874267578125,31.836281623840332,29.75566393852234,2.863605906968793,0.07071019632703912,2.792895710641754,64.37491892330415,27.909763910425923,37.35924863815308,46.808733365880244,50.587124057291064,0.7214649652546055,37.98720169067383,18.32999992370605,3020.89990234375,9649.44921875
2025-03-27,41.544710094263365,44.48362699965723,41.46473769848974,43.943824768066406,3642403,41.72664031982422,32.17335750579834,29.8519420337677,2.9828909567532307,0.15199619688918142,2.8308947598640493,68.87064582463238,28.51216585620653,37.980020141601564,47.4478744269966,49.85702614214458,0.8149501696315983,38.022098541259766,18.690000534057617,3060.199951171875,9612.7490234375
2025-03-28,44.003798199380974,47.30258281945503,43.58395080412071,45.80313491821289,9420134,42.162479400634766,32.55641639709473,29.969781026840213,3.190675882872341,0.28782489840663317,2.902850984465708,71.83690826705093,29.068990637220505,38.680761909484865,48.29253318174922,49.69794180764297,0.8705026267780781,38.003299713134766,21.649999618530277,3086.5,9659.44921875
2025-04-02,45.783150262428606,48.16227577206592,44.18374039822346,45.7431640625,7527784,42.53634185791015,32.904288330078124,30.098387975692752,3.3123253620498545,0.3275795020673171,2.9847458599825374,71.59992095558887,29.92777031421722,39.39649848937989,48.865226664542554,48.06888194754237,0.8351382284776108,37.96049880981445,21.51000022888184,3139.89990234375,9523.2490234375
2025-04-03,45.743161087851135,47.262602266684674,45.603213210495646,45.96308135986328,2963676,42.7142765045166,33.25295997619629,30.227496232986457,3.3874307456731785,0.3221479085525125,3.065282837120666,71.96516180362414,31.171233646358765,40.1552191734314,49.13920470050403,44.74629057941671,0.8232341686732622,37.944618225097656,30.020000457763672,3097.0,9484.2490234375
2025-04-04,46.143010852606416,46.96270874997392,44.98343793828459,46.30295181274414,7910523,43.15811271667481,33.628821487426755,30.358403577804573,3.4347829684492126,0.29560010506283696,3.1391828633863756,72.55264969883497,32.63780909955078,40.91993741989136,49.202065740231944,40.47967246555271,0.8249777221896156,38.00569915771485,45.310001373291016,3012.0,9379.75
2025-04-07,44.98344220356739,44.98344220356739,44.00380325317383,44.00380325317383,8319641,43.27207069396973,33.96189891815185,30.477815179824837,3.249331600134795,0.08811898939873508,3.16121261073606,62.943402002273366,34.53687765490319,41.5567029953003,48.576528335697404,33.78432278995274,0.6742992267764243,38.00090026855469,46.97999954223633,2951.300048828125,9407.150390625
2025-04-08,44.18373634963445,45.16337527835678,44.18373634963445,44.9234619140625,7960646,43.90583724975586,34.33456169128418,30.60072825431825,3.1403686081629445,-0.016675202058492378,3.157043810221437,64.94348999736921,35.78471824852541,42.083508872985846,48.38229949744628,29.934721667202723,0.7254363742500116,38.00479888916016,52.33000183105469,2968.39990234375,9477.0498046875
2025-04-09,44.7635196965386,45.843124085877385,41.34478009021936,43.88384628295898,11359900,44.33567924499511,34.67563610076905,30.71874237060548,2.9362787651549382,-0.17661203605319908,3.1128908012081373,60.93932456413046,37.089219638937834,42.519348335266116,47.9494770315944,25.541918721385766,0.6256414004161173,38.007999420166016,33.619998931884766,3056.5,9275.451171875
2025-04-10,44.48362092308704,44.98343688851499,42.68428421020508,42.68428421020508,4371621,44.47962608337402,35.00151607513428,30.827966814041147,2.6472258878759334,-0.3725319306657635,3.019757818541697,56.60273413314386,37.98495451487855,42.7952465057373,47.605538496596054,22.48049670756711,0.48846615800630266,37.96289825439453,40.720001220703125,3155.199951171875,9338.5498046875
2025-04-11,43.18410174708088,43.84385869292227,42.84422672569027,43.70391082763672,4349331,44.695546340942386,35.37098003387452,30.939298086166392,2.471929877861278,-0.43826235254433543,2.9101922304056136,59.25678469026661,38.773511684367,43.072144508361816,47.37077733235663,19.96015231217614,0.5734845641791508,38.03559875488281,37.560001373291016,3222.199951171875,9380.9501953125
2025-04-14,43.70391212505366,45.2633355997217,43.34404399603998,45.0234260559082,8991986,44.803506469726564,35.76283576965332,31.054036207199108,2.411680032066762,-0.3988097586710815,2.8104897907378437,62.456691228828234,38.980536950125625,43.26507339477539,47.54960983942516,19.805982555745114,0.7051975381524086,37.98509979248047,30.88999938964844,3204.800048828125,9423.5498046875
2025-04-15,45.02343369817216,46.043058965684,43.28407205046513,43.90384292602539,7610440,44.61357727050782,36.13070041656495,31.16736424446107,2.2476807290511616,-0.4502472493493461,2.6979279784005077,58.2746501697373,39.18304334776684,43.388028335571285,47.59301332337573,19.383157747027767,0.5613337017789722,38.03839874267578,30.1200008392334,3218.699951171875,9393.75
2025-04-16,44.28369511473988,45.42327494028415,43.74389294054733,45.14337921142578,15791730,44.55359878540039,36.53535140991212,31.28639141082765,2.192457038868014,-0.4043767516259953,2.596833790494009,61.359536912986904,39.323131893913185,43.54497032165527,47.766808749397356,19.390705271155188,0.6893024706093938,38.17060089111328,32.63999938964844,3326.60009765625,9266.05078125
2025-04-17,44.90346850932353,46.0230591173274,44.283697724627714,44.66355895996094,2764242,44.42364654541016,36.91960990905763,31.398233385086073,2.085929090159034,-0.4087237602679803,2.4946528504270145,59.52493361354246,39.326436769492844,43.56896152496338,47.81148628043391,19.474986811607735,0.6290030698802793,38.14339828491211,29.649999618530277,3308.699951171875,9395.9501953125
2025-04-22,45.06341568388317,45.36330454314213,43.58395686005728,43.64393615722656,5047505,44.14175148010254,38.00121189117432,31.73623211860658,1.6655364450318402,-0.4836412673067416,2.149177712338582,54.49298176131592,40.61087586638786,44.0237943649292,47.43671286347055,15.50488115699626,0.4443499445027785,38.235801696777344,30.56999969482422,3400.800048828125,9312.0498046875
