Date,Open,High,Low,Close,Volume
2024-06-04,25.186756134033203,25.186756134033203,25.186756134033203,25.186756134033203,299688
2024-06-05,27.699445724487305,27.699445724487305,27.699445724487305,27.699445724487305,671961
2024-06-06,30.451446533203125,30.451446533203125,30.451446533203125,30.451446533203125,7473072
2024-06-07,27.420259475708008,30.092488703449703,27.420259475708008,27.420259475708008,5634518
2024-06-10,24.68820571899414,24.68820571899414,24.68820571899414,24.68820571899414,1028511
2024-06-11,22.235336303710938,23.691103755171042,22.235336303710938,22.235336303710938,26699620
2024-06-12,21.278120919800067,21.676960666290366,20.021774291992188,20.021774291992188,37857450
2024-06-13,20.261080890404244,21.118587888131625,19.852269857026815,20.141429901123047,21935990
2024-06-14,20.261076272069452,20.600090500787832,20.021772446236085,20.121482849121094,9624155
2024-06-20,20.181308330125,20.500380097902823,20.101540388180542,20.121482849121094,7492223
2024-06-21,20.22119603689457,20.500382921241258,20.121485620277316,20.34084701538086,8007623
2024-06-24,20.2610805603513,20.34084851917874,19.8522695336334,20.281023025512695,5569541
2024-06-25,20.759627576547125,21.49748155735012,20.460498252535967,20.83939552307129,10196750
2024-06-26,20.56020897732835,22.913364386887878,20.400671180008725,21.43765640258789,25587180
2024-06-27,21.47754314160702,22.87348329607294,20.859340067953998,22.075801849365234,11060080
2024-06-28,22.075799871640324,22.694002889909825,21.21829491316054,21.238235473632812,6846638
2024-07-01,21.238235528221196,22.574350076009384,20.30096261998963,21.33794593811035,5581231
2024-07-02,21.078700481916655,23.252379517394214,20.97899196983035,22.295164108276367,9591291
2024-07-03,22.335045800225245,22.913363884185635,21.896321146311823,22.654117584228516,6447934
2024-07-04,22.43475691310224,22.43475691310224,21.098642349243164,21.098642349243164,6572301
2024-07-05,21.098642713364004,21.437656975824808,20.16136787586543,21.058759689331055,3159580
2024-07-08,21.05875972603505,22.2752214393383,21.01887480011464,21.89632225036621,5755280
2024-07-09,22.015975265724155,23.272321912903546,21.716845926698664,22.933307647705078,5935858
2024-07-10,23.01307523546233,23.471742370131487,22.235336303710938,22.235336303710938,4211790
2024-07-11,22.255278814840448,23.23243667098249,22.155568402581114,23.072900772094727,3037605
2024-07-12,23.072900467783903,24.030117750303585,22.694003188377255,23.212495803833008,4056750
2024-07-16,23.21249669418116,23.39197315858339,22.67406159552054,22.69400405883789,2832733
2024-07-17,22.694001966960425,24.109884401074176,22.5544085402423,23.033016204833984,9318420
2024-07-18,23.072899565622798,23.671160106078094,23.033016543895286,23.631277084350586,5313781
2024-07-19,23.6312786411885,23.83069756659951,22.8934227215321,22.933307647705078,3738576
2024-07-22,22.953251068285617,24.528669583295514,22.853540650511718,24.189655303955078,7846211
2024-07-23,24.229533536292685,24.409011872413284,23.67115796977566,23.87057876586914,5323106
2024-07-24,23.870583660596715,26.16391377683698,23.870583660596715,25.42605972290039,10099840
2024-07-25,25.426058589683127,26.522869340582073,24.947450884431287,25.446001052856445,8077122
2024-07-26,25.446001574048005,25.62547994264806,23.930408574556445,24.12982940673828,8525211
2024-07-29,24.129827965593933,25.226636771633565,23.571450429560862,24.289363861083984,6161630
2024-07-30,24.289365232670526,25.5656524686611,24.07000193762115,24.767972946166992,4939495
2024-07-31,24.56855233505663,25.326348839133768,24.209597497622838,24.428958892822266,6255188
2024-08-01,24.548611956826473,25.446001909851326,24.548611956826473,24.82779884338379,10078090
2024-08-02,24.548612403415927,25.725189264402434,24.349191564974518,24.987335205078125,9066204
2024-08-05,23.49168241555126,24.448899687609373,22.494582120642082,23.451799392700195,5837619
2024-08-06,23.93040781537712,24.12982864123244,22.933307489736404,23.372032165527344,7668270
2024-08-07,23.531567907760497,23.73098683046124,23.052960211097204,23.072900772094727,3977118
2024-08-08,23.11278559778517,23.411914931451804,22.57435051500373,22.87348175048828,5906299
2024-08-09,22.893421858242178,23.531567340220214,22.534467045311033,23.451799392700195,3936844
2024-08-12,23.471742417283508,24.149769036536373,22.973192257886506,23.810754776000977,13730740
2024-08-13,23.730986078955162,25.126928002743714,23.69110305640519,24.528667449951172,10913810
2024-08-14,24.5884955316777,25.126930656604895,24.169713290673684,24.349191665649414,4784844
2024-08-15,24.688204826646718,26.782115936279297,24.329248093047422,26.782115936279297,12800990
2024-08-16,27.42025821248661,28.098286719849867,25.525768025442023,25.765071868896484,11624430
2024-08-19,25.9246083207245,28.33759117126465,25.5457110359138,28.33759117126465,6796703
2024-08-20,28.297705162111196,30.790455866736906,27.320547342334205,29.833240509033203,25276040
2024-08-21,29.833241489379372,30.69074836853075,29.33469133207144,29.514169692993164,13567120
2024-08-22,29.554052719149833,32.4655876159668,29.434401746403775,32.4655876159668,11782940
2024-08-23,32.70488762433576,34.26036539244636,31.90720818054916,33.103729248046875,16176620
2024-08-26,33.402863582581055,33.86152885621546,31.927155438951132,32.2462272644043,6499826
2024-08-27,32.24622640625001,32.5254132951826,29.91301136744394,31.189300537109375,9660829
2024-08-28,30.910110326758016,31.02976320353246,29.414459827076175,30.610980987548828,8206979
2024-08-29,30.291906667007055,30.411559541346666,28.97573455836095,29.414459228515625,4011049
2024-09-02,29.4144614572663,29.673707786463762,28.756375353079683,29.27486801147461,3620134
2024-09-03,29.135269308261318,30.471383826953875,29.03556080236133,30.07254409790039,6348328
2024-09-05,29.952894664616828,31.388717762768355,29.75347383896459,30.850284576416016,6390135
2024-09-06,30.451442868459928,31.608079018491363,30.03266068297835,31.388715744018555,4421410
2024-09-09,31.408660642562374,31.608081470861386,30.790457596289812,30.910110473632812,4972799
2024-09-10,30.910109965006512,34.00111944005281,29.514169895337545,29.913009643554688,7160200
2024-09-11,29.893069772371298,30.052605685489667,28.716490986759755,29.73353385925293,5885787
2024-09-12,29.733533394869827,31.009822581701584,29.25492566298969,30.411561965942383,15749160
2024-09-13,30.551153598252625,30.8103999130823,30.092488357889483,30.610980987548828,8627739
2024-09-16,30.77051554666504,31.368774198990717,30.431501296044296,30.969934463500977,5546258
2024-09-17,30.969936688455633,31.06964710494597,30.591039387973954,30.83034324645996,2639274
2024-09-18,30.710689448272724,30.710689448272724,30.212139282542207,30.51127052307129,5162678
2024-09-19,30.511268070283588,30.890165328979492,30.291904797833187,30.890165328979492,4841113
2024-09-20,30.870226023467694,32.00691981758064,30.65086463040916,31.907211303710938,3831708
2024-09-23,32.046802789584326,34.10083076126476,31.508369620626397,32.545352935791016,6154453
2024-09-24,32.54535496519033,32.884369237895896,31.80750093101292,32.006919860839844,4803591
2024-09-25,32.006914691951984,32.605177090271646,31.747670315224898,32.26616287231445,3251574
2024-09-26,32.186395236660054,33.38291631165571,31.807497973941526,32.12657165527344,2292157
2024-09-27,32.12657098659393,33.78175723473574,31.92715017763944,33.58233642578125,3012320
2024-09-30,34.00111639741694,34.57943635785247,33.34303039629389,34.36007308959961,3839821
2024-10-01,34.20053776288964,34.20053776288964,31.90720795206228,32.70488739013672,12291970
2024-10-02,32.58523784423681,33.303151271582664,31.508369605035913,31.807498931884766,5919986
2024-10-03,31.707790472335546,32.22628311245717,30.730632582595717,31.907211303710938,5051465
2024-10-04,31.967033186131907,32.884363527307634,31.528308573791325,32.844478607177734,4529122
2024-10-07,32.844488550179946,33.00402447536048,32.56530163202313,32.90431594848633,5229478
2024-10-08,32.88436591079393,33.32308865311584,32.684945099325574,33.0040168762207,2645328
2024-10-09,33.00402447536048,33.86153149956954,32.804607421612175,32.90431594848633,4014428
2024-10-10,32.90431371592039,33.50257244384627,32.70489287206635,33.043907165527344,3038850
2024-10-11,33.02396198488688,33.283210201667416,31.408660509420457,32.186397552490234,9291684
2024-10-14,32.186397305979746,32.40576059486229,31.328892318859587,31.687849044799805,6971903
2024-10-15,31.707790002788293,32.7846601940869,31.707790002788293,32.485530853271484,7570679
2024-10-16,32.56529419712756,33.30315005990243,32.286107342711155,33.103729248046875,11442110
2024-10-17,33.12367562020342,33.482632363195016,32.964139712611164,33.30315399169922,5743582
2024-10-18,33.3230922508491,34.10083311918107,33.16355634517721,34.08089065551758,6115539
2024-10-21,34.06094911470507,34.59938423729962,32.38582015794612,32.72483444213867,13956940
2024-10-22,32.724826948959674,33.10372607480129,32.645060914045004,32.92424774169922,2175406
2024-10-23,32.98407877630049,33.063844820055785,32.50546729922605,32.6251220703125,1095250
2024-10-24,32.62512511141173,32.86442706861942,32.30605329937744,32.60518264770508,4087278
2024-10-25,32.62512457858549,33.12367475220135,32.12657440496963,33.08378982543945,6948756
2024-10-28,33.0239624352966,33.42280409564368,33.00401997191565,33.08378982543945,1778757
2024-10-30,33.08379433976899,33.38292372402793,32.82454608407782,32.90431594848633,2164067
2024-10-31,32.92425599965345,33.402863740090034,31.707792282104492,31.707792282104492,3560201
2024-11-01,31.70779008578468,31.927153377986944,30.37167547658497,31.10953140258789,5514009
2024-11-04,31.249124226445566,31.348834638954333,29.71358881853715,29.913009643554688,2480918
2024-11-05,29.972834658610267,30.132370555386295,28.89596640446313,29.0156192779541,2826211
2024-11-06,29.115327357389344,29.354631183390357,28.477181919568896,28.955791473388672,3906285
2024-11-07,29.035561392088564,31.069645002483547,29.015618929776387,29.79335594177246,5898106
2024-11-08,29.833238476238442,30.212135720724167,29.613877113832782,29.633817672729492,4056175
2024-11-11,29.793358394891168,30.092489648749975,28.35753522291384,28.47718620300293,11313460
2024-11-12,28.41735819358661,28.497126140513437,26.163911315631424,26.642518997192383,6870314
2024-11-13,26.64251721392072,27.061299382710555,26.443098310860353,26.841938018798828,5856153
2024-11-14,26.86188254610584,27.260722284726626,26.86188254610584,27.141069412231445,3453944
2024-11-15,27.141069983180497,27.24078039538771,26.76217269897461,26.76217269897461,5825721
2024-11-18,27.260722086385226,27.99857607291973,26.762171941282084,27.480083465576172,5543757
2024-11-19,27.839040330903487,28.01851868841317,26.981533468054053,27.04136085510254,5874175
2024-11-20,27.0812439268928,27.380373255403917,26.60263624054786,27.141069412231445,2781288
2024-11-21,27.14106745611519,28.6965451773564,26.921706091138088,28.317646026611328,12916520
2024-11-22,28.317650295005446,28.836142946906282,28.2578248049609,28.47718620300293,6906512
2024-11-25,28.537011789397827,29.17515538101395,28.49712686401286,28.676605224609375,8625712
2024-11-26,28.676602019488296,29.15520965970746,28.237877398378544,29.035558700561523,6822153
2024-11-27,29.035562351278614,29.514170051674373,28.895967012299725,29.474285125732422,5659465
2024-11-28,29.474283908763564,30.212137891862795,29.394515961991154,30.03266143798828,5364985
2024-11-29,30.132370213790836,30.610979800511068,29.952893758315867,30.531211853027344,4619775
2024-12-02,30.511271884569126,32.20634138260083,29.972836768681077,31.827444076538086,10556920
2024-12-03,31.80749894762326,32.56529539807557,31.767615924872022,32.545352935791016,4326921
2024-12-04,32.505463696582645,33.462682741005416,32.04679853582637,32.92424774169922,10067940
2024-12-05,32.96413535418612,33.183494820849845,31.647961437843755,32.30604934692383,13688640
2024-12-06,32.425704372402606,32.864427164318265,32.30605339345034,32.804603576660156,5330730
2024-12-09,32.80460222321646,33.243324997031415,32.744774834390654,33.16355514526367,3569013
2024-12-10,33.16355505259624,33.34303341493627,32.7447747428934,32.96413803100586,3532377
2024-12-11,32.96413534129434,33.72192985095872,32.924250418776325,33.58233642578125,3667259
2024-12-12,33.562394083743605,33.90140831907983,33.562394083743605,33.78175735473633,1944941
2024-12-13,33.7817620233238,34.160657430046896,33.72193463106621,34.001121520996094,2279320
2024-12-16,34.00111569665748,34.55949318450415,33.981177039623184,34.439842224121094,2155720
2024-12-17,34.340133154489706,34.97828054510799,33.98118023953892,34.81874084472656,3390064
2024-12-18,34.89851157327497,35.19764091174729,34.878569110225364,35.03810501098633,3255114
2024-12-19,34.99822008488711,35.277410763945724,34.34013401879365,35.03810501098633,4887072
2024-12-20,35.04710090740993,35.66687170824068,35.027107808893625,35.26701736450195,2397039
2024-12-23,35.267018426093394,36.30663670047327,34.847174784494065,34.90715026855469,4589028
2024-12-24,34.90714613089685,35.18704567207941,34.34735467511832,34.64724349975586,5196071
2024-12-25,34.64724650411475,35.027107748684216,34.64724650411475,34.70722579956055,3369613
2024-12-26,34.76720267824078,35.386977316194894,34.74720957895576,35.167057037353516,1937056
2024-12-27,35.18704961829255,37.7860914743571,34.82718146305112,35.4869384765625,5998150
2024-12-30,35.48693787877747,35.98675390523913,34.52729202316157,34.96712875366211,5287277
2024-12-31,34.9671277831706,36.24665555514595,34.867166105970114,35.88679122924805,2333002
2025-01-02,35.886786822851704,37.086342055143184,34.927137298408205,36.78645324707031,4365595
2025-01-03,36.786459946501914,37.10634190847459,35.007116056367174,35.167057037353516,7266911
2025-01-06,35.18705177608482,36.08671840606536,35.14706557565174,35.32699966430664,4479469
2025-01-07,35.32699535099816,35.88679064883026,35.24702295989636,35.64687728881836,2081622
2025-01-08,35.646876750609465,36.14669274756882,35.14706075365011,35.68686294555664,2184624
2025-01-09,35.88679478021638,36.36661774218521,35.70686069281632,36.186683654785156,4701281
2025-01-10,36.22666518784811,36.78645666471337,32.56801223754883,32.56801223754883,11129980
2025-01-13,31.488407591429542,31.488407591429542,29.32920265197754,29.32920265197754,10903390
2025-01-14,29.06930012968269,29.209248007479804,27.48988155651945,27.909727096557617,12852120
2025-01-15,28.189625803348868,29.968969709776704,26.95008032938414,26.990066528320312,14310000
2025-01-16,27.22997855599608,27.949712991668214,26.390287427721788,27.090030670166016,5095996
2025-01-17,27.090028990128154,27.44989523232298,26.610206062770498,26.650190353393555,6198567
2025-01-20,26.750155646770615,28.989331357295082,26.210353389064927,28.349567413330078,9223676
2025-01-21,28.349564983475418,29.2892177189742,27.90972635637478,28.529499053955078,7048650
2025-01-22,28.529501465701795,28.529501465701795,27.28995596575599,27.509876251220703,3281272
2025-01-23,27.489879584677634,27.949709382540007,27.209981942513558,27.349931716918945,2549047
2025-01-24,27.189993665581095,27.36992584056115,26.19036157356189,26.29032325744629,3000041
2025-01-27,26.290323557670625,27.349934960097062,26.030420888626928,26.83012580871582,4186773
2025-01-28,27.07003558465175,27.07003558465175,26.170367129392268,26.39028549194336,3548303
2025-01-29,26.3103154359509,27.269963202155505,25.230712890625,25.230712890625,8270067
2025-01-30,25.250705197283253,26.050410055162487,24.930823254131557,25.430639266967773,7044387
2025-01-31,25.410646993304432,26.390285952652455,25.410646993304432,25.510610580444336,5617356
2025-02-03,25.510609126066107,25.510609126066107,24.690911190214766,24.910829544067383,1734132
2025-02-04,24.95081792024493,25.610576903181823,24.910833625106143,25.450634002685547,4104757
2025-02-05,25.47062359174311,25.8904691193717,25.330675718082507,25.710535049438477,5254745
2025-02-06,25.79050612217549,26.27033095513097,25.410646782176176,26.090396881103516,2926118
2025-02-07,26.110389756927578,26.910094627285794,26.03041926989176,26.530235290527344,5038602
2025-02-10,26.53023407450489,29.169261932373047,26.53023407450489,29.169261932373047,16556910
2025-02-11,29.229240947506476,31.868268952476715,27.60983809232813,31.728321075439453,35250870
2025-02-12,31.728319711363,33.34772440356609,29.48914424180019,29.84901237487793,51999510
2025-02-13,30.008955892167425,31.708329306432866,29.76904441862337,31.208513259887695,21955830
2025-02-14,31.20851065138381,32.16815837199661,29.84901241493191,30.128908157348633,15187010
2025-02-17,30.16889601726991,30.76867563741054,29.90899145165407,30.428800582885742,4525294
2025-02-18,30.448790711636097,31.10854960540004,30.34882903397642,30.648717880249023,7870154
2025-02-19,30.668710061882248,30.98859199678559,29.908989513163444,30.008953094482422,7417495
2025-02-20,30.068932685979913,30.40880774340407,29.269227790068292,30.26885986328125,9190643
2025-02-21,30.268858495506475,30.928615481482492,29.849012967462937,30.228872299194336,9217231
2025-02-24,30.248865449669953,31.10854960540004,30.248865449669953,30.648717880249023,8914071
2025-02-25,30.648718405783,30.948607257197803,29.88899782133244,30.46878433227539,15384680
2025-02-26,30.428800819200475,30.588741798260525,29.829021194401864,29.988962173461914,6275340
2025-02-27,30.528762683119947,32.2681202554751,30.528762683119947,31.52839469909668,12225830
2025-02-28,31.58837428740793,32.048206038256595,31.248499225760142,31.788299560546875,9032502
2025-03-03,31.94823968615819,32.66797598879549,31.248498388940284,31.42843246459961,16567680
2025-03-04,31.468417806630747,31.808292870529616,30.68870599492491,30.788667678833008,12267580
