Date,USDTRY,VIX,GOLD,BIST100
2021-05-24,8.416299819946289,18.399999618530273,1884.5999755859375,1452.1922607421875
2021-05-25,8.377969741821289,18.84000015258789,1898.0999755859375,1400.1925048828125
2021-05-26,8.452300071716309,17.360000610351562,1901.300048828125,1427.0924072265625
2021-05-27,8.451199531555176,16.739999771118164,1895.699951171875,1414.9925537109375
2021-05-28,8.48235034942627,16.760000228881836,1902.5,1422.0924072265625
2021-05-31,8.573399543762207,16.760000228881836,1902.5,1420.492431640625
2021-06-01,8.487799644470215,17.899999618530273,1902.9000244140625,1431.992431640625
2021-06-02,8.601699829101562,17.479999542236328,1907.5,1430.6923828125
2021-06-03,8.580490112304688,18.040000915527344,1871.199951171875,1428.0924072265625
2021-06-04,8.70680046081543,16.420000076293945,1889.800048828125,1432.8924560546875
2021-06-07,8.67300033569336,16.420000076293945,1896.800048828125,1447.09228515625
2021-06-08,8.597149848937988,17.06999969482422,1892.199951171875,1447.59228515625
2021-06-09,8.599699974060059,17.889999389648438,1893.199951171875,1449.1922607421875
2021-06-10,8.582300186157227,16.100000381469727,1894.199951171875,1456.6922607421875
2021-06-11,8.425200462341309,15.649999618530273,1877.4000244140625,1460.892333984375
2021-06-14,8.378479957580566,16.389999389648438,1864.0,1454.2923583984375
2021-06-15,8.45576000213623,17.020000457763672,1854.5,1442.59228515625
2021-06-16,8.555899620056152,18.149999618530273,1859.5,1431.29248046875
2021-06-17,8.619999885559082,17.75,1773.800048828125,1414.1925048828125
2021-06-18,8.71345043182373,20.700000762939453,1767.9000244140625,1391.0926513671875
2021-06-21,8.754280090332031,17.889999389648438,1781.800048828125,1398.4925537109375
2021-06-22,8.779199600219727,16.65999984741211,1776.300048828125,1409.892578125
2021-06-23,8.63895034790039,16.31999969482422,1782.300048828125,1402.392578125
2021-06-24,8.634499549865723,15.970000267028809,1775.5999755859375,1410.7926025390625
2021-06-25,8.69729995727539,15.619999885559082,1776.5999755859375,1391.8927001953125
2021-06-28,8.747309684753418,15.760000228881836,1779.5999755859375,1373.292724609375
2021-06-29,8.683099746704102,16.020000457763672,1762.800048828125,1371.692626953125
2021-06-30,8.72599983215332,15.829999923706055,1770.800048828125,1356.2928466796875
2021-07-01,8.704700469970703,15.479999542236328,1775.9000244140625,1372.792724609375
2021-07-02,8.664609909057617,15.069999694824219,1782.5999755859375,1376.692626953125
2021-07-05,8.688400268554688,15.069999694824219,1782.5999755859375,1392.592529296875
2021-07-06,8.65999984741211,16.440000534057617,1793.5,1382.5926513671875
2021-07-07,8.680299758911133,16.200000762939453,1801.5,1390.5926513671875
2021-07-08,8.678500175476074,19.0,1799.5999755859375,1372.99267578125
2021-07-09,8.681900024414062,16.18000030517578,1810.0,1378.292724609375
2021-07-12,8.65429973602295,16.170000076293945,1805.5,1356.9927978515625
2021-07-13,8.632100105285645,17.1200008392334,1809.4000244140625,1346.7928466796875
2021-07-14,8.619199752807617,16.329999923706055,1824.300048828125,1367.2928466796875
2021-07-15,8.584050178527832,17.010000228881836,1828.4000244140625,1367.2928466796875
2021-07-16,8.560689926147461,18.450000762939453,1814.5,1363.2928466796875
2021-07-19,8.532099723815918,22.5,1808.699951171875,1351.5927734375
2021-07-20,8.580100059509277,19.729999542236328,1810.9000244140625,1351.5927734375
2021-07-21,8.57040023803711,17.90999984741211,1802.9000244140625,1351.5927734375
2021-07-22,8.554160118103027,17.690000534057617,1805.0,1351.5927734375
2021-07-23,8.556500434875488,17.200000762939453,1801.4000244140625,1351.5927734375
2021-07-26,8.54757022857666,17.579999923706055,1798.699951171875,1349.0927734375
2021-07-27,8.554499626159668,19.360000610351562,1799.5,1359.5927734375
2021-07-28,8.556099891662598,18.309999465942383,1799.5,1360.7928466796875
2021-07-29,8.551259994506836,17.700000762939453,1831.199951171875,1391.5926513671875
2021-07-30,8.45226001739502,18.239999771118164,1812.5999755859375,1392.892578125
2021-08-02,8.43667984008789,19.459999084472656,1818.0999755859375,1399.6925048828125
2021-08-03,8.349800109863281,18.040000915527344,1810.0999755859375,1408.7926025390625
2021-08-04,8.401200294494629,17.969999313354492,1810.5,1413.7926025390625
2021-08-05,8.475500106811523,17.280000686645508,1805.0999755859375,1431.79248046875
2021-08-06,8.52560043334961,16.149999618530273,1760.0,1434.79248046875
2021-08-09,8.627900123596191,16.719999313354492,1723.4000244140625,1432.5924072265625
2021-08-10,8.6489896774292,16.790000915527344,1728.800048828125,1437.492431640625
2021-08-11,8.598799705505371,16.170000076293945,1750.4000244140625,1410.892578125
2021-08-12,8.625439643859863,15.59000015258789,1749.0,1444.4923095703125
2021-08-13,8.561189651489258,15.449999809265137,1775.199951171875,1447.59228515625
2021-08-16,8.512200355529785,16.1200008392334,1786.9000244140625,1455.2923583984375
2021-08-17,8.454700469970703,17.90999984741211,1785.0,1461.692138671875
2021-08-18,8.42667007446289,21.56999969482422,1781.5999755859375,1449.59228515625
2021-08-19,8.453519821166992,21.670000076293945,1780.199951171875,1439.892333984375
2021-08-20,8.530799865722656,18.559999465942383,1781.0,1444.59228515625
2021-08-23,8.490799903869629,17.149999618530273,1803.199951171875,1459.2923583984375
2021-08-24,8.42650032043457,17.219999313354492,1805.5999755859375,1465.8922119140625
2021-08-25,8.411800384521484,16.790000915527344,1788.199951171875,1453.2923583984375
2021-08-26,8.373379707336426,18.84000015258789,1792.199951171875,1448.4923095703125
2021-08-27,8.376409530639648,16.389999389648438,1816.5999755859375,1458.1922607421875
2021-08-30,8.34862995147705,16.190000534057617,1809.0,1458.1922607421875
2021-08-31,8.367300033569336,16.479999542236328,1815.0,1472.0921630859375
2021-09-01,8.304499626159668,16.110000610351562,1813.0999755859375,1474.0921630859375
2021-09-02,8.283780097961426,16.40999984741211,1808.699951171875,1479.0921630859375
2021-09-03,8.279580116271973,16.40999984741211,1830.9000244140625,1468.692138671875
2021-09-06,8.312649726867676,16.40999984741211,1830.9000244140625,1474.692138671875
2021-09-07,8.276780128479004,18.139999389648438,1795.9000244140625,1454.6922607421875
2021-09-08,8.344799995422363,17.959999084472656,1790.699951171875,1433.8924560546875
2021-09-09,8.472200393676758,18.799999237060547,1797.4000244140625,1452.6922607421875
2021-09-10,8.440400123596191,20.950000762939453,1789.5999755859375,1438.6922607421875
2021-09-13,8.46660041809082,19.3700008392334,1792.0,1438.2923583984375
2021-09-14,8.422100067138672,19.459999084472656,1804.699951171875,1434.3924560546875
2021-09-15,8.430669784545898,18.18000030517578,1792.4000244140625,1423.992431640625
2021-09-16,8.425800323486328,18.690000534057617,1754.5999755859375,1417.992431640625
2021-09-17,8.529009819030762,20.809999465942383,1749.4000244140625,1419.3924560546875
2021-09-20,8.635199546813965,25.709999084472656,1761.800048828125,1391.8927001953125
2021-09-21,8.668299674987793,24.360000610351562,1776.0,1385.5926513671875
2021-09-22,8.620400428771973,20.8700008392334,1776.699951171875,1407.4925537109375
2021-09-23,8.656299591064453,18.6299991607666,1747.699951171875,1401.4925537109375
2021-09-24,8.756429672241211,17.75,1749.699951171875,1384.692626953125
2021-09-27,8.858619689941406,18.760000228881836,1750.0,1391.692626953125
2021-09-28,8.814200401306152,23.25,1735.800048828125,1383.792724609375
2021-09-29,8.866900444030762,22.559999465942383,1721.5,1391.8927001953125
2021-09-30,8.916139602661133,23.139999389648438,1755.300048828125,1406.392578125
2021-10-01,8.885000228881836,21.100000381469727,1757.0,1401.4925537109375
2021-10-04,8.85260009765625,22.959999084472656,1766.199951171875,1394.392578125
2021-10-05,8.847100257873535,21.299999237060547,1759.5999755859375,1391.692626953125
2021-10-06,8.861960411071777,21.0,1760.5,1371.692626953125
2021-10-07,8.866040229797363,19.540000915527344,1757.9000244140625,1396.892578125
2021-10-08,8.87090015411377,18.770000457763672,1756.300048828125,1397.9925537109375
2021-10-11,8.955010414123535,20.0,1754.5999755859375,1416.29248046875
2021-10-12,8.99487018585205,19.850000381469727,1758.300048828125,1416.79248046875
2021-10-13,9.037989616394043,18.639999389648438,1793.699951171875,1413.4925537109375
2021-10-14,9.146920204162598,16.860000610351562,1796.699951171875,1411.7926025390625
2021-10-15,9.190099716186523,16.299999237060547,1767.199951171875,1409.592529296875
2021-10-18,9.236949920654297,16.309999465942383,1764.800048828125,1417.6923828125
2021-10-19,9.339099884033203,15.699999809265137,1769.699951171875,1429.8924560546875
2021-10-20,9.305399894714355,15.489999771118164,1784.0999755859375,1432.79248046875
2021-10-21,9.214960098266602,15.010000228881836,1781.199951171875,1455.392333984375
2021-10-22,9.531149864196777,15.430000305175781,1795.5,1479.8922119140625
2021-10-25,9.674400329589844,15.239999771118164,1806.0,1492.89208984375
2021-10-26,9.586700439453125,15.979999542236328,1792.699951171875,1509.19189453125
2021-10-27,9.529069900512695,16.979999542236328,1797.9000244140625,1519.2919921875
2021-10-28,9.50570011138916,16.530000686645508,1801.5999755859375,1521.991943359375
2021-10-29,9.52511978149414,16.260000228881836,1783.0,1521.991943359375
2021-11-01,9.582900047302246,16.40999984741211,1795.0999755859375,1536.2918701171875
2021-11-02,9.539910316467285,16.030000686645508,1788.699951171875,1533.091796875
2021-11-03,9.600799560546875,15.100000381469727,1763.5999755859375,1546.9918212890625
2021-11-04,9.639599800109863,15.4399995803833,1793.0,1575.691650390625
2021-11-05,9.694029808044434,16.479999542236328,1816.4000244140625,1583.591552734375
2021-11-08,9.687740325927734,17.219999313354492,1827.4000244140625,1608.491455078125
2021-11-09,9.683159828186035,17.780000686645508,1830.199951171875,1615.5914306640625
2021-11-10,9.72719955444336,18.729999542236328,1847.5999755859375,1624.09130859375
2021-11-11,9.843099594116211,17.65999984741211,1863.199951171875,1625.09130859375
2021-11-12,9.920900344848633,16.290000915527344,1867.9000244140625,1638.4913330078125
2021-11-15,10.029609680175781,16.489999771118164,1866.0999755859375,1702.490966796875
2021-11-16,10.057499885559082,16.3700008392334,1853.5999755859375,1685.591064453125
2021-11-17,10.34220027923584,17.110000610351562,1869.699951171875,1706.990966796875
2021-11-18,10.730779647827148,17.59000015258789,1861.0,1736.890869140625
2021-11-19,11.03711986541748,17.90999984741211,1851.199951171875,1737.2908935546875
2021-11-22,11.105500221252441,19.170000076293945,1806.0,1755.49072265625
2021-11-23,11.406100273132324,19.3799991607666,1783.5,1784.5904541015625
2021-11-24,12.818900108337402,18.579999923706055,1784.0999755859375,1812.2904052734375
2021-11-25,11.913999557495117,18.579999923706055,1784.0999755859375,1819.1903076171875
2021-11-26,11.984299659729004,28.6200008392334,1785.300048828125,1776.390625
2021-11-29,12.329099655151367,22.959999084472656,1782.300048828125,1808.7904052734375
2021-11-30,12.699000358581543,27.190000534057617,1773.5999755859375,1809.6903076171875
2021-12-01,13.50160026550293,31.1200008392334,1781.5999755859375,1857.39013671875
2021-12-02,13.44320011138916,27.950000762939453,1760.699951171875,1880.0899658203125
2021-12-03,13.717100143432617,30.670000076293945,1782.0,1910.389892578125
2021-12-06,13.632049560546875,27.18000030517578,1777.5,1927.3897705078125
2021-12-07,13.783149719238281,21.889999389648438,1782.5999755859375,1980.989501953125
2021-12-08,13.520500183105469,19.899999618530273,1783.4000244140625,2004.58935546875
2021-12-09,13.682700157165527,21.579999923706055,1774.5999755859375,2031.3892822265625
2021-12-10,13.773300170898438,18.690000534057617,1782.9000244140625,2035.4892578125
2021-12-13,13.854889869689941,20.309999465942383,1786.300048828125,2101.48876953125
2021-12-14,13.803290367126465,21.889999389648438,1770.4000244140625,2157.6884765625
2021-12-15,14.377799987792969,19.290000915527344,1762.5999755859375,2162.28857421875
2021-12-16,14.81410026550293,20.56999969482422,1796.5999755859375,2278.587890625
2021-12-17,15.660750389099121,21.56999969482422,1803.800048828125,2084.489013671875
2021-12-20,16.608980178833008,22.8700008392334,1793.699951171875,2056.388916015625
2021-12-21,13.475899696350098,21.010000228881836,1787.9000244140625,1891.989990234375
2021-12-22,12.270709991455078,18.6299991607666,1801.5999755859375,1804.1904296875
2021-12-23,12.032299995422363,17.959999084472656,1811.199951171875,1805.29052734375
2021-12-24,11.413299560546875,17.959999084472656,1811.199951171875,1891.2900390625
2021-12-27,10.807069778442383,17.68000030517578,1808.0999755859375,1897.0899658203125
2021-12-28,11.521050453186035,17.540000915527344,1810.199951171875,1850.490234375
2021-12-29,11.803119659423828,16.950000762939453,1805.0999755859375,1895.489990234375
2021-12-30,12.640299797058105,17.329999923706055,1812.699951171875,1863.6900634765625
2021-12-31,13.290499687194824,17.219999313354492,1827.5,1857.6900634765625
2022-01-03,13.356599807739258,16.600000381469727,1799.4000244140625,1926.689697265625
2022-01-04,13.061699867248535,16.90999984741211,1814.0,1963.589599609375
2022-01-05,13.411499977111816,19.729999542236328,1824.5999755859375,2005.2894287109375
2022-01-06,13.687999725341797,19.610000610351562,1788.699951171875,2007.58935546875
2022-01-07,13.782099723815918,18.760000228881836,1797.0,2033.289306640625
2022-01-10,13.749349594116211,19.399999618530273,1798.4000244140625,2045.1890869140625
2022-01-11,13.809000015258789,18.40999984741211,1818.5999755859375,2045.9891357421875
2022-01-12,13.760499954223633,17.6200008392334,1827.199951171875,2064.18896484375
2022-01-13,13.243399620056152,20.309999465942383,1821.199951171875,2070.68896484375
2022-01-14,13.5826997756958,19.190000534057617,1816.5,2072.888916015625
2022-01-17,13.43317985534668,19.190000534057617,1816.5,2085.7890625
2022-01-18,13.450599670410156,22.790000915527344,1812.300048828125,1979.78955078125
2022-01-19,13.527700424194336,23.850000381469727,1843.0999755859375,2042.089111328125
